NAME;FORMULA;MASS;WEIGHT
H2O;H2O;18,0106;18,0153
H+;H;1,0078;1,0079
ATP;C10H16N5O13P3;506,9957;507,1810
NAD+;C21H28N7O14P2;664,1169;664,4330
3-Phospho-D-glyceroyl phosphate;C3H8O10P2;265,9593;266,0371
beta-D-Fructose 6-phosphate;C6H13O9P;260,0297;260,1358
Glycerone phosphate;C3H7O6P;169,9980;170,0578
ADP;C10H15N5O10P2;427,0294;427,2011
NADH;C21H29N7O14P2;665,1248;665,4410
alpha-D-Glucose 6-phosphate;C6H13O9P;260,0297;260,1358
3-Phospho-D-glycerate;C3H7O7P;185,9929;186,0572
2-Phospho-D-glycerate;C3H7O7P;185,9929;186,0572
alpha-D-Glucose;C6H12O6;180,0634;180,1559
Phosphoenolpyruvate;C3H5O6P;167,9824;180,0420
Orthophosphate;H3PO4;97,9769;97,9952
beta-D-Fructose 1,6-bisphosphate;C6H14O12P2;339,9960;340,1157
D-Glyceraldehyde 3-phosphate;C3H7O6P;169,9980;170,0578
Pyruvic acid;C3H4O3;88,0160;88,0621
