ID	DESCRIPTION	REACTION
R00658	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)	2-Phospho-D-glycerate[c] <=> Phosphoenolpyruvate[c] + H2O[c]
R01015	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	D-Glyceraldehyde 3-phosphate[c] <=> Glycerone phosphate[c]
R01061	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	D-Glyceraldehyde 3-phosphate[c] + Orthophosphate[c] + NAD+[c] <=> 3-Phospho-D-glyceroyl phosphate[c] + NADH[c] + H+[c]
R01070	beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)	beta-D-Fructose 1,6-bisphosphate[c] <=> Glycerone phosphate[c] + D-Glyceraldehyde 3-phosphate[c]
R01512	ATP:3-phospho-D-glycerate 1-phosphotransferase	ATP[c] + 3-Phospho-D-glycerate[c] <=> ADP[c] + 3-Phospho-D-glyceroyl phosphate[c]
R01518	D-phosphoglycerate 2,3-phosphomutase	2-Phospho-D-glycerate[c] <=> 3-Phospho-D-glycerate[c]
R01786	ATP:alpha-D-glucose 6-phosphotransferase	ATP[c] + alpha-D-Glucose[c] <=> ADP[c] + alpha-D-Glucose 6-phosphate[c]
R02740	alpha-D-Glucose 6-phosphate ketol-isomerase	alpha-D-Glucose 6-phosphate[c] <=> beta-D-Fructose 6-phosphate[c]
R04779	ATP:D-fructose-6-phosphate 1-phosphotransferase	ATP[c] + beta-D-Fructose 6-phosphate[c] <=> ADP[c] + beta-D-Fructose 1,6-bisphosphate[c]
R00200	ATP:pyruvate 2-O-phosphotransferase	ATP[c] + Pyruvate[c] <=> ADP[c] + Phosphoenolpyruvate[c]
