"NAME","DESCRIPTION","FORMULA"
"10fthf5glu[c]","10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19"
"10fthf5glu[l]","10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19"
"10fthf5glu[m]","10-formyltetrahydrofolate-[Glu](5)","C40H45N11O19"
"10fthf6glu[c]","10-formyltetrahydrofolate-[Glu](6)","C45H51N12O22"
"10fthf6glu[l]","10-formyltetrahydrofolate-[Glu](6)","C45H51N12O22"
"10fthf6glu[m]","10-formyltetrahydrofolate-[Glu](6)","C45H51N12O22"
"10fthf7glu[c]","10-formyltetrahydrofolate-[Glu](7)","C50H57N13O25"
"10fthf7glu[l]","10-formyltetrahydrofolate-[Glu](7)","C50H57N13O25"
"10fthf7glu[m]","10-formyltetrahydrofolate-[Glu](7)","C50H57N13O25"
"10fthf[c]","10-Formyltetrahydrofolate","C20H21N7O7"
"10fthf[l]","10-Formyltetrahydrofolate","C20H21N7O7"
"10fthf[m]","10-Formyltetrahydrofolate","C20H21N7O7"
"11docrtsl[c]","11-deoxycortisol","C21H30O4"
"11docrtsl[m]","11-deoxycortisol","C21H30O4"
"11docrtsl[r]","11-deoxycortisol","C21H30O4"
"11docrtstrn[c]","11-deoxycorticosterone","C21H30O3"
"11docrtstrn[m]","11-deoxycorticosterone","C21H30O3"
"11docrtstrn[r]","11-deoxycorticosterone","C21H30O3"
"13dampp[c]","trimethylenediaminium","C3H12N2"
"h2o[c]","Water","H2O"
"o2[c]","O2","O2"
"bamppald[c]","beta-Aminopropion aldehyde","C3H8NO"
"h2o2[c]","Hydrogen peroxide","H2O2"
"nh4[c]","Ammonium","H4N"
"2425dhvitd2[m]","24R,25-Dihyoxyvitamin D2","C28H44O3"
"h[m]","proton","H"
"nadph[m]","Nicotinamide adenine dinucleotide phosphate - reduced","C21H26N7O17P3"
"o2[m]","O2","O2"
"1a2425thvitd2[m]","1-alpha,24R,25-Trihydroxyvitamin D2","C28H44O4"
"h2o[m]","Water","H2O"
"nadp[m]","Nicotinamide adenine dinucleotide phosphate","C21H25N7O17P3"
"2425dhvitd3[m]","(24R)-24,25-dihydroxycalciol","C27H44O3"
"1a2425thvitd3[m]","calcitetrol","C27H44O4"
"1a25dhvitd2[m]","1-alpha,25-Dihydroxyvitamin D2","C28H44O3"
"1a25dhvitd3[m]","calcitriol","C27H44O3"
"1mncam[c]","1-methylnicotinamide","C7H9N2O"
"atp[c]","ATP","C10H12N5O13P3"
"1mncam[e]","1-methylnicotinamide","C7H9N2O"
"adp[c]","ADP","C10H12N5O10P2"
"h[c]","proton","H"
"pi[c]","hydrogenphosphate","HO4P"
"1pipdn2c[x]","1-piperideine-2-carboxylate","C6H9NO2"
"h[x]","proton","H"
"nadh[x]","Nicotinamide adenine dinucleotide - reduced","C21H27N7O14P2"
"Lpipecol[x]","L-pipecolic acid","C6H11NO2"
"nad[x]","Nicotinamide adenine dinucleotide","C21H26N7O14P2"
"2425dhvitd2[c]","24R,25-Dihyoxyvitamin D2","C28H44O3"
"2425dhvitd2[e]","24R,25-Dihyoxyvitamin D2","C28H44O3"
"2425dhvitd3[c]","(24R)-24,25-dihydroxycalciol","C27H44O3"
"2425dhvitd3[e]","(24R)-24,25-dihydroxycalciol","C27H44O3"
"25hvitd2[m]","25-Hydroxyvitamin D2","C28H44O2"
"25hvitd3[m]","calcidiol","C27H44O2"
"24nph[e]","2-hydroxy-4-nitrophenolate","C6H5NO4"
"24nph[c]","2-hydroxy-4-nitrophenolate","C6H5NO4"
"25hvitd2[c]","25-Hydroxyvitamin D2","C28H44O2"
"25hvitd2[e]","25-Hydroxyvitamin D2","C28H44O2"
"25hvitd3[c]","calcidiol","C27H44O2"
"25hvitd3[e]","calcidiol","C27H44O2"
"2amac[c]","2-aminoacrylic acid","C3H5NO2"
"pyr[c]","pyruvate","C3H3O3"
"nadph[c]","Nicotinamide adenine dinucleotide phosphate - reduced","C21H26N7O17P3"
"paps[c]","(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate","C10H11N5O13P2S"
"Lcyst[c]","L-cysteate(1-)","C3H6NO5S"
"nadp[c]","Nicotinamide adenine dinucleotide phosphate","C21H25N7O17P3"
"pap[c]","adenosine 3',5'-bismonophosphate(4-)","C10H11N5O10P2"
"L2aadp[c]","L-2-aminoadipate(1-)","C6H10NO4"
"akg[m]","2-Oxoglutarate","C5H4O5"
"L2aadp[m]","L-2-aminoadipate(1-)","C6H10NO4"
"akg[c]","2-Oxoglutarate","C5H4O5"
"2dr1p[c]","2-Deoxy-D-ribose 1-phosphate","C5H9O7P"
"drib[c]","2-deoxy-D-ribose","C5H10O4"
"2hb[c]","2-Hydroxybutyrate","C4H7O3"
"nad[c]","Nicotinamide adenine dinucleotide","C21H26N7O14P2"
"2obut[c]","2-Oxobutanoate","C4H5O3"
"nadh[c]","Nicotinamide adenine dinucleotide - reduced","C21H27N7O14P2"
"2hb[e]","2-Hydroxybutyrate","C4H7O3"
"h[e]","proton","H"
"hco3[e]","Bicarbonate","CHO3"
"na1[e]","Sodium","Na"
"hco3[c]","Bicarbonate","CHO3"
"na1[c]","Sodium","Na"
"2mcit[c]","2-methylcitrate(3-)","C7H7O7"
"2mcit[e]","2-methylcitrate(3-)","C7H7O7"
"2oxoadp[m]","2-oxoadipate(2-)","C6H6O5"
"coa[m]","Coenzyme A","C21H32N7O16P3S"
"nad[m]","Nicotinamide adenine dinucleotide","C21H26N7O14P2"
"co2[m]","carbon dioxide","CO2"
"glutcoa[m]","glutaryl-CoA(5-)","C26H37N7O19P3S"
"nadh[m]","Nicotinamide adenine dinucleotide - reduced","C21H27N7O14P2"
"2oxoadp[c]","2-oxoadipate(2-)","C6H6O5"
"34dhmald[c]","3,4-Dihydroxymandelaldehyde","C8H8O4"
"34dhoxpeg[c]","3,4-Dihydroxyphenylethyleneglycol","C8H10O4"
"34dhoxpeg[e]","3,4-Dihydroxyphenylethyleneglycol","C8H10O4"
"34dhpha[c]","(3,4-dihydroxyphenyl)acetate","C8H7O4"
"amet[c]","S-Adenosyl-L-methionine","C15H23N6O5S"
"ahcys[c]","S-Adenosyl-L-homocysteine","C14H20N6O5S"
"homoval[c]","Homovanillate","C9H9O4"
"34dhphe[e]","L-dopa","C9H11NO4"
"34dhphe[c]","L-dopa","C9H11NO4"
"34dhpac[c]","3,4-Dihydroxyphenylacetaldehyde","C8H8O3"
"34dhoxmand[c]","3,4-Dihydroxymandelate","C8H7O5"
"34hpp[m]","3-(4-hydroxyphenyl)pyruvate","C9H7O4"
"34hpl[m]","3-(4-hydroxyphenyl)lactate","C9H9O4"
"34hpp[c]","3-(4-hydroxyphenyl)pyruvate","C9H7O4"
"co2[c]","carbon dioxide","CO2"
"hgentis[c]","homogentisate","C8H7O4"
