"ID","DESCRIPTION","REACTION","GPR","REVERSIBLE","LOWER.BOUND","UPPER.BOUND","OBJECTIVE"
"10FTHF5GLUtl","5-glutamyl-10FTHF transport, lysosomal","10fthf5glu[c]  => 10fthf5glu[l] ","",0,0,1000,0
"10FTHF5GLUtm","5-glutamyl-10FTHF transport, mitochondrial","10fthf5glu[m]  => 10fthf5glu[c] ","",0,0,1000,0
"10FTHF6GLUtl","6-glutamyl-10FTHF transport, lysosomal","10fthf6glu[c]  => 10fthf6glu[l] ","",0,0,1000,0
"10FTHF6GLUtm","6-glutamyl-10FTHF transport, mitochondrial","10fthf6glu[m]  => 10fthf6glu[c] ","",0,0,1000,0
"10FTHF7GLUtl","7-glutamyl-10FTHF transport, lysosomal","10fthf7glu[c]  => 10fthf7glu[l] ","",0,0,1000,0
"10FTHF7GLUtm","7-glutamyl-10FTHF transport, mitochondrial","10fthf7glu[m]  => 10fthf7glu[c] ","",0,0,1000,0
"10FTHFtl","10-Formyltetrahydrofolate lysosomal transport via diffusion","10fthf[c]  <=> 10fthf[l] ","",1,-1000,1000,0
"10FTHFtm","10-Formyltetrahydrofolate mitochondrial transport via diffusion","10fthf[c]  <=> 10fthf[m] ","",1,-1000,1000,0
"11DOCRTSLtm","11-deoxycortisol intracellular transport","11docrtsl[c]  <=> 11docrtsl[m] ","",1,-1000,1000,0
"11DOCRTSLtr","11-deoxycortisol intracellular transport","11docrtsl[c]  <=> 11docrtsl[r] ","",1,-1000,1000,0
"11DOCRTSTRNtm","11-deoxycorticosterone intracellular transport","11docrtstrn[c]  <=> 11docrtstrn[m] ","",1,-1000,1000,0
"11DOCRTSTRNtr","11-deoxycorticosterone intracellular transport","11docrtstrn[c]  <=> 11docrtstrn[r] ","",1,-1000,1000,0
"13DAMPPOX","1,3-Diaminopropane:oxygen oxidoreductase (deaminating)","13dampp[c] + h2o[c] + o2[c]  => bamppald[c] + h2o2[c] + nh4[c] ","(8639.1) or (26.1) or (314.2) or (314.1)",0,0,1000,0
"1a_24_25VITD2Hm","1-alpha-Vitamin D-24,25-hydroxylase (D2)","2425dhvitd2[m] + h[m] + nadph[m] + o2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ","",0,0,1000,0
